"UPC","HSY Item Description","Hsy Seasonal Segmentation","Store Nbr","Store Name","Building City","Building State/Prov","Building Postal Code","Store Type","WM Date","SeasonAndYear","OH Qty","POS Qty","POS Sales","MSO"
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6583,"LAKE CHARLES RYAN LA","LAKE CHARLES","LA",70601,"Neighborhood Market","4/1/2018 12:00:00 AM","EAS2018",0,0,0,11.7466236645838
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6587,"EL PASO HWY 54 & MLK TX","EL PASO","TX",79934,"Neighborhood Market","3/28/2018 12:00:00 AM","EAS2018",0,4,4,3.87638580931264
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6587,"EL PASO HWY 54 & MLK TX","EL PASO","TX",79934,"Neighborhood Market","3/31/2018 12:00:00 AM","EAS2018",0,0,0,13.8467294900222
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6588,"SLIDELL PONCHARTRAIN LA","SLIDELL","LA",70458,"Neighborhood Market","3/19/2018 12:00:00 AM","EAS2018",0,0,0,1.31374722838137
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6588,"SLIDELL PONCHARTRAIN LA","SLIDELL","LA",70458,"Neighborhood Market","3/26/2018 12:00:00 AM","EAS2018",0,0,0,4.78935698447894
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6588,"SLIDELL PONCHARTRAIN LA","SLIDELL","LA",70458,"Neighborhood Market","3/29/2018 12:00:00 AM","EAS2018",0,0,0,8.7139689578714
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6588,"SLIDELL PONCHARTRAIN LA","SLIDELL","LA",70458,"Neighborhood Market","4/1/2018 12:00:00 AM","EAS2018",0,0,0,9.397298931667
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6590,"MOSS BLUFF LA","LAKE CHARLES","LA",70611,"Neighborhood Market","3/26/2018 12:00:00 AM","EAS2018",0,0,0,6.46563192904656
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6813,"EL PASO ZARAGOZA TX","EL PASO","TX",79938,"Neighborhood Market","3/31/2018 12:00:00 AM","EAS2018",0,0,0,23.7372505543237
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6828,"KERNERSVILLE S NC","KERNERSVILLE","NC",27284,"Neighborhood Market","4/1/2018 12:00:00 AM","EAS2018",0,0,0,15.0356782906672
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6876,"JONESBORO SOUTH AR","JONESBORO","AR",72404,"Neighborhood Market","4/1/2018 12:00:00 AM","EAS2018",0,0,0,7.98770409191695
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6936,"STAFFORD FURNACE RD VA","STAFFORD","VA",22556,"Neighborhood Market","3/30/2018 12:00:00 AM","EAS2018",0,0,0,15.6452328159645
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6941,"CAPE CORAL FL","CAPE CORAL","FL",33909,"Neighborhood Market","3/28/2018 12:00:00 AM","EAS2018",0,0,0,7.1990022172949
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6941,"CAPE CORAL FL","CAPE CORAL","FL",33909,"Neighborhood Market","3/31/2018 12:00:00 AM","EAS2018",0,0,0,25.715354767184
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6942,"BROKEN ARROW 81ST & GARNE","BROKEN ARROW","OK",74012,"Neighborhood Market","3/28/2018 12:00:00 AM","EAS2018",0,0,0,4.98392461197339
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6943,"JONESBORO STADIUM DR. AR","JONESBORO","AR",72401,"Neighborhood Market","3/30/2018 12:00:00 AM","EAS2018",0,2,2,16.390243902439
